year,country,iso_code,refugees,asylum_seekers,total
2023,Netherlands (Kingdom of the),NLD,105338,1290,106628
2023,Nigeria,NGA,0,5,5
2023,Norway,NOR,66450,948,67398
2023,New Zealand,NZL,10,14,24
2023,Panama,PAN,19,5,24
2023,Paraguay,PRY,9,0,9
2023,Peru,PER,30,90,120
2023,Philippines,PHL,0,45,45
2023,Poland,POL,955891,1005,956896
2023,Portugal,PRT,51566,17,51583
2023,Romania,ROU,81493,6,81499
2023,Russian Federation,RUS,1227554,257,1227811
2023,Spain,ESP,191327,1145,192472
2023,Serbia and Kosovo: S/RES/1244 (1999),SRB,4063,0,4063
2023,Slovakia,SVK,124962,0,124962
2023,Slovenia,SVN,9467,47,9514
2023,Sweden,SWE,43467,1111,44578
2023,Switzerland,CHE,66419,225,66644
2023,Tunisia,TUN,0,21,21
2023,Türkiye,TUR,3232,0,3232
2023,Unknown ,UNK,0,0,0
2023,Ukraine,UKR,0,0,0
2023,Uruguay,URY,18,0,18
2023,United States of America,USA,3299,17773,21072
2024,Albania,ALB,9250,0,9250
2024,Egypt,EGY,0,10,10
2024,Argentina,ARG,121,26,147
2024,Armenia,ARM,706,63,769
2024,Australia,AUS,34,1019,1053
2024,Austria,AUT,84987,56,85043
2024,Azerbaijan,AZE,4906,206,5112
2024,Belgium,BEL,85635,887,86522
2024,Belarus,BLR,43114,1199,44313
2024,Bolivia (Plurinational State of),BOL,7,9,16
2024,Brazil,BRA,1330,34,1364
2024,Bosnia and Herzegovina,BIH,267,5,272
2024,Bulgaria,BGR,74322,5,74327
2024,Canada,CAN,75221,824,76045
2024,China,CHN,0,18,18
2024,Chile,CHL,67,45,112
2024,Colombia,COL,9,25,34
2024,Costa Rica,CRI,35,18,53
2024,Cyprus,CYP,21875,85,21960
2024,Czechia,CZE,388388,126,388514
2024,Denmark,DNK,36058,640,36698
2024,Dominican Rep.,DOM,5,28,33
2024,Ecuador,ECU,102,8,110
2024,Estonia,EST,41729,98,41827
2024,Finland,FIN,68589,197,68786
2024,France,FRA,68929,6296,75225
2024,United Kingdom of Great Britain and Northern Ireland,GBR,255141,945,256086
2024,Georgia,GEO,29914,85,29999
2024,Germany,DEU,1205729,1830,1207559
2024,Ghana,GHA,0,5,5
2024,Greece,GRC,32830,61,32891
2024,Guatemala,GTM,5,0,5
2024,Croatia,HRV,27256,11,27267
2024,Hungary,HUN,62987,0,62987
2024,Iceland,ISL,4029,27,4056
2024,India,IND,0,89,89
2024,Ireland,IRL,109081,451,109532
2024,Iraq,IRQ,0,5,5
2024,Israel,ISR,39,262,301
2024,Italy,ITA,167780,1875,169655
2024,Japan,JPN,2058,0,2058
2024,Kazakhstan,KAZ,99,146,245
2024,Kenya,KEN,0,5,5
2024,Kyrgyzstan,KGZ,21,30,51
2024,Rep. of Korea,KOR,23,37,60
2024,Lebanon,LBN,0,15,15
2024,Liechtenstein,LIE,727,0,727
2024,Lithuania,LTU,50641,10,50651
2024,Luxembourg,LUX,3747,40,3787
2024,Latvia,LVA,47687,5,47692
2024,North Macedonia,MKD,20741,0,20741
2024,Rep. of Moldova,MDA,135486,375,135861
2024,Mexico,MEX,102,130,232
2024,Montenegro,MNE,18558,0,18558
2024,Morocco,MAR,0,5,5
2024,Malta,MLT,2591,110,2701
2024,Nepal,NPL,0,8,8
2024,Netherlands (Kingdom of the),NLD,118974,564,119538
2024,Nigeria,NGA,0,5,5
2024,Norway,NOR,79112,877,79989
2024,New Zealand,NZL,23,5,28
2024,Panama,PAN,21,5,26
2024,Paraguay,PRY,9,5,14
2024,Peru,PER,31,109,140
2024,Philippines,PHL,0,48,48
2024,Poland,POL,991223,3448,994671
2024,Portugal,PRT,57141,16,57157
2024,Romania,ROU,177996,5,178001
2024,South Africa,ZAF,5,5,10
2024,Russian Federation,RUS,6894,149,7043
2024,Spain,ESP,222544,1010,223554
2024,Serbia and Kosovo: S/RES/1244 (1999),SRB,10719,0,10719
2024,Slovakia,SVK,142172,10,142182
2024,Slovenia,SVN,11296,127,11423
2024,Sweden,SWE,45993,151,46144
2024,Switzerland,CHE,66894,639,67533
2024,United Rep. of Tanzania,TZA,0,13,13
2024,Tunisia,TUN,0,6,6
2024,Türkiye,TUR,2616,0,2616
2024,Unknown ,UNK,0,0,0
2024,Ukraine,UKR,0,0,0
2024,Uruguay,URY,18,5,23
2024,United States of America,USA,3397,18658,22055
2025,Albania,ALB,4571,0,4571
2025,Egypt,EGY,0,10,10
2025,Argentina,ARG,121,41,162
2025,Armenia,ARM,4790,40,4830
2025,Australia,AUS,4181,1292,5473
2025,Austria,AUT,91865,57,91922
2025,Azerbaijan,AZE,4893,150,5043
2025,Belgium,BEL,91773,713,92486
2025,Benin,BEN,0,5,5
2025,Belarus,BLR,40561,1460,42021
2025,Bolivia (Plurinational State of),BOL,12,0,12
2025,Brazil,BRA,1639,30,1669
2025,Bosnia and Herzegovina,BIH,324,5,329
2025,Bulgaria,BGR,82455,5,82460
2025,Canada,CAN,172945,1363,174308
2025,China,CHN,0,17,17
2025,Chile,CHL,82,23,105
2025,Colombia,COL,9,18,27
2025,Costa Rica,CRI,38,11,49
2025,Cyprus,CYP,24986,35,25021
2025,Czechia,CZE,392955,125,393080
2025,Denmark,DNK,48216,613,48829
2025,Dominican Rep.,DOM,5,29,34
2025,Ecuador,ECU,119,9,128
2025,Estonia,EST,40809,245,41054
2025,Finland,FIN,77439,126,77565
2025,France,FRA,75695,3765,79460
2025,United Kingdom of Great Britain and Northern Ireland,GBR,270489,371,270860
2025,Georgia,GEO,25908,88,25996
2025,Germany,DEU,1173192,1716,1174908
2025,Greece,GRC,38426,71,38497
2025,Guatemala,GTM,5,0,5
2025,Croatia,HRV,28317,15,28332
2025,Hungary,HUN,64841,0,64841
2025,Iceland,ISL,4664,55,4719
2025,India,IND,0,98,98
2025,Ireland,IRL,118319,406,118725
2025,Iraq,IRQ,0,7,7
2025,Israel,ISR,40,436,476
2025,Italy,ITA,64721,2096,66817
2025,Japan,JPN,2346,0,2346
2025,Kazakhstan,KAZ,4145,95,4240
2025,Kenya,KEN,0,6,6
2025,Kyrgyzstan,KGZ,915,31,946
2025,Rep. of Korea,KOR,23,37,60
2025,Lebanon,LBN,0,18,18
2025,Liechtenstein,LIE,875,0,875
2025,Lithuania,LTU,51321,5,51326
2025,Luxembourg,LUX,3856,73,3929
2025,Latvia,LVA,31003,0,31003
2025,North Macedonia,MKD,20741,0,20741
2025,Rep. of Moldova,MDA,148852,143,148995
2025,Mexico,MEX,91,59,150
2025,Montenegro,MNE,12186,5,12191
2025,Morocco,MAR,0,5,5
2025,Malta,MLT,2493,70,2563
2025,Nepal,NPL,0,9,9
2025,Netherlands (Kingdom of the),NLD,131899,330,132229
2025,Norway,NOR,83790,810,84600
2025,New Zealand,NZL,17,5,22
2025,Panama,PAN,21,10,31
2025,Paraguay,PRY,10,11,21
2025,Peru,PER,31,111,142
2025,Philippines,PHL,0,15,15
2025,Poland,POL,972287,5205,977492
2025,Portugal,PRT,59343,490,59833
2025,Romania,ROU,199461,8,199469
2025,Russian Federation,RUS,5488,249,5737
2025,Spain,ESP,251276,955,252231
2025,Serbia and Kosovo: S/RES/1244 (1999),SRB,16142,0,16142
2025,Slovakia,SVK,138849,6,138855
2025,Slovenia,SVN,11368,133,11501
2025,Sweden,SWE,49216,135,49351
2025,Switzerland,CHE,70714,18,70732
2025,United Rep. of Tanzania,TZA,0,12,12
2025,Türkiye,TUR,2645,0,2645
2025,Unknown ,UNK,0,0,0
2025,Ukraine,UKR,0,0,0
2025,Uruguay,URY,20,5,25
2025,United States of America,USA,3302,1973,5275
